58,1036
17,1051
181,1053
51,1090
96,1044
24,1026
43,1051
27,2026
46,1006
94,1026
193,1006
69,1026
197,1006
31,1090
198,1006
130,1067
14,1104
16,2053
134,1052
98,1085
77,1053
165,1027
180,1044
139,1036
100,1067
61,1041
141,2036
104,1027
129,1027
3,1051
140,1051
172,1036
39,1026
33,1026
175,1044
80,1036
179,1090
52,1026
105,1006
166,1036
79,1000
15,1041
95,1067
160,2036
157,1036
88,1006
119,2027
35,1006
13,1090
102,2103
149,1052
84,1000
78,1090
145,1075
65,1053
108,1036
76,2036
2,1026
173,1085
151,1036
83,1090
72,1026
109,1027
155,1051
19,1041
71,1090
42,1006
93,2052
192,1006
74,1052
150,2052
4,1006
66,1075
159,1036
131,2052
62,2053
99,1026
67,1090
30,2053
26,1006
191,1090
186,1085
123,1027
117,1067
41,2053
116,1036
73,1053
70,2027
37,1006
115,1041
194,2052
162,1085
144,1052
170,1006
164,1041
190,2027
57,2036
20,1051
22,1094
169,1044
90,1041
136,1085
152,2052
89,1026
200,1041
148,1075
184,1041
86,1006
122,1051
154,1067
113,2041
120,1075
56,1085
118,2036
60,1006
156,1067
187,1090
121,1052
92,1052
97,2036
188,1113
137,1075
11,1075
75,1067
127,1027
87,1027
54,1053
8,1090
7,1000
49,1090
135,1036
196,1085
106,2067
6,1026
199,1027
47,1006
29,1006
12,2026
34,1113
82,1053
63,1041
112,1006
18,2041
147,1027
133,1036
9,1113
64,1067
10,1052
142,1075
50,1052
138,1041
111,1067
174,1053
28,2053
182,1006
91,2051
195,1041
143,2036
163,1052
23,1113
85,1051
107,1027
68,1100
81,1044
171,2027
1,1006
161,1051
101,1113
126,1027
158,1075
177,1026
103,1006
5,1026
45,1041
32,2051
25,1119
36,2118
59,1041
21,1006
189,1090
132,1027
48,1006
176,1090
146,1104
167,1006
53,1006
178,1052
110,1006
183,1103
114,1052
168,1053
128,2051
40,1026
124,2051
44,1085
125,1103
185,1085
55,1103
153,2027
38,1041
